review.commentScore,review.commentPolarity,review.commentDetail,review.date,review.productURL,review.manuallyProcessedComment
1,Negative,coz coz coz coz !!!,"November 14, 2020",https://www.amazon.com/Acer-AN515-55-53E5-i5-10300H-GeForce-Keyboard/dp/B092YHJGMN,I STRONGLY suggest you shop eslewhere for a new laptop
1,Negative,The laptop that I received had software issues from the very beginning and would not stop giving me a blue screen.,"January 15, 2021",https://www.amazon.com/Acer-AN515-55-53E5-i5-10300H-GeForce-Keyboard/dp/B092YHJGMN,The laptop that I received had software issues from the very beginning and would not stop giving me a blue screen
1,Negative,20+ year IT person and cannot get wifi to stay connected.,"August 28, 2020",https://www.amazon.com/Acer-AN515-55-53E5-i5-10300H-GeForce-Keyboard/dp/B092YHJGMN,20 year IT person and cannot get wifi to stay connected
1,Negative,Laptop delivered with a bad display.,"July 6, 2020",https://www.amazon.com/Acer-AN515-55-53E5-i5-10300H-GeForce-Keyboard/dp/B092YHJGMN,Laptop delivered with a bad display
1,Negative,Laptop did not turn on or recognize power source when plugged in.,"November 21, 2021",https://www.amazon.com/Acer-AN515-55-53E5-i5-10300H-GeForce-Keyboard/dp/B092YHJGMN,Laptop did not turn on or recognize power source when plugged in
2,Negative,Purchased on November 30th 2020 and today I woke up to the black screen of death.,"November 29, 2020",https://www.amazon.com/Acer-AN515-55-53E5-i5-10300H-GeForce-Keyboard/dp/B092YHJGMN,Purchased on November 30th 2020 and today I woke up to the black screen of death
2,Negative,Not sure if perhaps the more you spend the better the battery but this laptop EATS battery life even on the optimized settings.,"June 11, 2020",https://www.amazon.com/Acer-AN515-55-53E5-i5-10300H-GeForce-Keyboard/dp/B092YHJGMN,Not sure if perhaps the more you spend the better the battery but this laptop EATS battery life even on the optimized settings
2,Negative,"I tried to turn the computer on, well ir didnot turn ON!!!!","November 9, 2021",https://www.amazon.com/Acer-AN515-55-53E5-i5-10300H-GeForce-Keyboard/dp/B092YHJGMN,I tried to turn the computer on well it did not turn ON
2,Negative,The laptop was defective out of the box.,"December 26, 2020",https://www.amazon.com/Acer-AN515-55-53E5-i5-10300H-GeForce-Keyboard/dp/B092YHJGMN,The laptop was defective out of the box
2,Negative,Trying to contact seller as the audio jack is not working.,"February 22, 2021",https://www.amazon.com/Acer-AN515-55-53E5-i5-10300H-GeForce-Keyboard/dp/B092YHJGMN,Trying to contact seller as the audio jack is not working
4,Positive,This is an amazing laptop that plays games the way you want them to be played.,"June 21, 2020",https://www.amazon.com/Acer-AN515-55-53E5-i5-10300H-GeForce-Keyboard/dp/B092YHJGMN,This is an amazing laptop that plays games the way you want them to be played
4,Positive,Love this thing!,"July 19, 2020",https://www.amazon.com/Acer-AN515-55-53E5-i5-10300H-GeForce-Keyboard/dp/B092YHJGMN,Love this thing
4,Positive,Amazing performance - sounds like a jet when playing but with gaming headset it's no big deal.,"September 16, 2021",https://www.amazon.com/Acer-AN515-55-53E5-i5-10300H-GeForce-Keyboard/dp/B092YHJGMN,Amazing performance sounds like a jet when playing but with gaming headset it is no big deal
4,Positive,It's a very good budget gaming laptop.,"July 7, 2020",https://www.amazon.com/Acer-AN515-55-53E5-i5-10300H-GeForce-Keyboard/dp/B092YHJGMN,It is a very good budget gaming laptop
4,Positive,I'm definitely loving this laptop.,"September 2, 2021",https://www.amazon.com/Acer-AN515-55-53E5-i5-10300H-GeForce-Keyboard/dp/B092YHJGMN,I am definitely loving this laptop
5,Positive,"I love this laptop beause it is low priced with very advanved hardware and also has a sleek look to it, I can play games at 100+ fps consistently and also allows mr to take care of my work/daily needs, overrall this comeupter is fulfilling what I wanted it tto do and more I would reccoemnd buying this if looking for a Low Priced but high capacity laptop.","June 5, 2020",https://www.amazon.com/Acer-AN515-55-53E5-i5-10300H-GeForce-Keyboard/dp/B092YHJGMN,I love this laptop beause it is low priced with very advanved hardware and also has a sleek look to it I can play games at 100 fps consistently and also allows mr to take care of my work daily needs overrall this comeupter is fulfilling what I wanted it tto do and more I would reccoemnd buying this if looking for a Low Priced but high capacity laptop
5,Positive,Absolutely amazing laptop! Runs games with zero lag.,"June 17, 2020",https://www.amazon.com/Acer-AN515-55-53E5-i5-10300H-GeForce-Keyboard/dp/B092YHJGMN,Absolutely amazing laptop Runs games with zero lag
5,Positive,Parents bought this for my sister and this is perfect for her to start on it's good for light-medium gaming.,"June 3, 2020",https://www.amazon.com/Acer-AN515-55-53E5-i5-10300H-GeForce-Keyboard/dp/B092YHJGMN,Parents bought this for my sister and this is perfect for her to start on it is good for light medium gaming
5,Positive,"I'm pleasantly surprised with the Acer Nitro 5, specially after I looked under the hood.","June 25, 2020",https://www.amazon.com/Acer-AN515-55-53E5-i5-10300H-GeForce-Keyboard/dp/B092YHJGMN,I am pleasantly surprised with the Acer Nitro 5 specially after I looked under the hood
5,Positive,"Okay I have been buying gaming laptop, and it seems this is finally is my last one because this gaming laptop is perfect.","July 3, 2020",https://www.amazon.com/Acer-AN515-55-53E5-i5-10300H-GeForce-Keyboard/dp/B092YHJGMN,Okay I have been buying gaming laptop and it seems this is finally is my last one because this gaming laptop is perfect
1,Negative,Mass buying and reselling at high prices should be frowned upon,"March 15, 2020",https://www.amazon.com/Nintendo-Switch-Neon-Blue-Joy?/dp/B07VGRJDFY,Mass buying and reselling at high prices should be frowned upon
1,Negative,Way overpriced.,"March 14, 2020",https://www.amazon.com/Nintendo-Switch-Neon-Blue-Joy?/dp/B07VGRJDFY,Way overpriced
1,Negative,The price is disgusting!,"March 15, 2020",https://www.amazon.com/Nintendo-Switch-Neon-Blue-Joy?/dp/B07VGRJDFY,The price is disgusting
1,Negative,"Wow how disappointing dont buy this until they get this improved, older version of this is better in my opinion.","September 7, 2019",https://www.amazon.com/Nintendo-Switch-Neon-Blue-Joy?/dp/B07VGRJDFY,Wow how disappointing do not buy this until they get this improved older version of this is better in my opinion
1,Negative,This is a ripoff.,"April 18, 2020",https://www.amazon.com/Nintendo-Switch-Neon-Blue-Joy?/dp/B07VGRJDFY,This is a ripoff
5,Positive,"Good Seller, Console came with everything as specified on description.","August 22, 2019",https://www.amazon.com/Nintendo-Switch-Neon-Blue-Joy?/dp/B07VGRJDFY,Good Seller Console came with everything as specified on description
5,Positive,"New reversion is absolutely worth, games run smoothly, nice brightness and white balance.","August 23, 2019",https://www.amazon.com/Nintendo-Switch-Neon-Blue-Joy?/dp/B07VGRJDFY,New reversion is absolutely worth games run smoothly nice brightness and white balance
5,Positive,"Finally I could get a flawless Switch console in my hands , this one is perfect , battery life, even the joysticks feels more premium now.","August 16, 2019",https://www.amazon.com/Nintendo-Switch-Neon-Blue-Joy?/dp/B07VGRJDFY,Finally I could get a flawless Switch console in my hands this one is perfect battery life even the joysticks feels more premium now
5,Positive,As advertised this is the new version oh so happy got it the new battery life is just a charm thank you amazon,"September 7, 2019",https://www.amazon.com/Nintendo-Switch-Neon-Blue-Joy?/dp/B07VGRJDFY,As advertised this is the new version oh so happy got it the new battery life is just a charm thank you amazon
5,Positive,LOVE THE SWITCH!!!,"March 17, 2020",https://www.amazon.com/Nintendo-Switch-Neon-Blue-Joy?/dp/B07VGRJDFY,LOVE THE SWITCH
2,Negative,Research more before you buy.,"December 3, 2018",https://www.amazon.com/PlayStation-Classic-Console/dp/B07HHVF2XG,Research more before you buy
2,Negative,Why?,"January 19, 2019",https://www.amazon.com/PlayStation-Classic-Console/dp/B07HHVF2XG,Why
2,Negative,Sony missed the mark on this one for sure.,"December 9, 2018",https://www.amazon.com/PlayStation-Classic-Console/dp/B07HHVF2XG,Sony missed the mark on this one for sure
2,Negative,"Not sure what sony was thinking with this because if you're looking for a nostalgic game player, look elsewhere.","May 4, 2019",https://www.amazon.com/PlayStation-Classic-Console/dp/B07HHVF2XG,Not sure what sony was thinking with this because if you are looking for a nostalgic game player look elsewhere
2,Negative,Lackluster gaming device.,"August 19, 2019",https://www.amazon.com/PlayStation-Classic-Console/dp/B07HHVF2XG,Lackluster gaming device
4,Positive,"If you can find this for $50 or less, it is absolutely worth it.","June 7, 2019",https://www.amazon.com/PlayStation-Classic-Console/dp/B07HHVF2XG,If you can find this for 50 or less it is absolutely worth it
4,Positive,It’s just nostalgic.,"June 2, 2021",https://www.amazon.com/PlayStation-Classic-Console/dp/B07HHVF2XG,It is just nostalgic
4,Positive,Doesn't break the bank and the games are alright.,"January 3, 2019",https://www.amazon.com/PlayStation-Classic-Console/dp/B07HHVF2XG,Does not break the bank and the games are alright
4,Positive,I love this thing.,"December 27, 2019",https://www.amazon.com/PlayStation-Classic-Console/dp/B07HHVF2XG,I love this thing
4,Positive,Nice addition for gaming collection,"January 19, 2019",https://www.amazon.com/PlayStation-Classic-Console/dp/B07HHVF2XG,Nice addition for gaming collection
