review.commentScore,review.commentPolarity,review.commentDetail,review.date,review.productURL
5,Positive,Well packaged.,22 Nov 21,https://shopee.ph/Xiaomi-Air-Pump-Electronic-Air-Inflator-Digital-Tire-Pressure-Detection-Pump-for-Bike-Car-Ball-i.380381470.9316942737
5,Positive,Worth the price.,29 Nov 21,https://shopee.ph/Xiaomi-Air-Pump-Electronic-Air-Inflator-Digital-Tire-Pressure-Detection-Pump-for-Bike-Car-Ball-i.380381470.9316942737
5,Positive,Very good product.,20 Nov 21,https://shopee.ph/Xiaomi-Air-Pump-Electronic-Air-Inflator-Digital-Tire-Pressure-Detection-Pump-for-Bike-Car-Ball-i.380381470.9316942737
1,Negative,Worst delivery ever.,7 Mar 21,https://shopee.ph/Xiaomi-Mi-Smart-Band-5-Global-Version-Black-i.178878153.7244883371
1,Negative,No cable charger included.,7 Mar 21,https://shopee.ph/Xiaomi-Mi-Smart-Band-5-Global-Version-Black-i.178878153.7244883371
1,Negative,"Doesn't come with warranty, buy somewhere else.",27 Feb 21,https://shopee.ph/Xiaomi-Mi-Smart-Band-5-Global-Version-Black-i.178878153.7244883371
2,Negative,Seems like used coz the band have scratches.,21 Aug 20,https://shopee.ph/Xiaomi-Mi-Smart-Band-5-Global-Version-Black-i.178878153.7244883371
2,Negative,They shipped it very late The item arrived with a drained battery which is not good for lithium battery.,27 Nov 21,https://shopee.ph/Xiaomi-Mi-Smart-Band-5-Global-Version-Black-i.178878153.7244883371
2,Negative,Item took too long to received though.,28 Jun 21,https://shopee.ph/Xiaomi-Mi-Smart-Band-5-Global-Version-Black-i.178878153.7244883371
1,Negative,Took a long time to ship out.,22 Nov 21,https://shopee.ph/Xiaomi-Mi-Smart-Band-5-Global-Version-Black-i.178878153.7244883371
1,Negative,"I received my xiaomi band 5, upon opening the box, I noticed that the seal was tampered!",23 Dec 20,https://shopee.ph/Xiaomi-Mi-Smart-Band-5-Global-Version-Black-i.178878153.7244883371
1,Negative,it is defective,6 Aug 21,https://shopee.ph/Xiaomi-Mi-Smart-Band-5-Global-Version-Black-i.178878153.7244883371
4,Positive,Thanks to the seller and shopee,23 Jul 21,https://shopee.ph/Xiaomi-Mi-Smart-Band-5-Global-Version-Black-i.178878153.7244883371
4,Positive,"Although it took 3 weeks, still, thank you seller.",28 Sep 21,https://shopee.ph/Xiaomi-Mi-Smart-Band-5-Global-Version-Black-i.178878153.7244883371
4,Positive,ood product but shipping time was significantly delayed.,24 Sep 21,https://shopee.ph/Xiaomi-Mi-Smart-Band-5-Global-Version-Black-i.178878153.7244883371
5,Positive,Very nice... Its legit will order again soon.,2 Dec 21,https://shopee.ph/Xiaomi-Mi-Smart-Band-5-Global-Version-Black-i.178878153.7244883371
5,Positive,So cute so nice bubbled wrap when it arrived and it also arrived on time.,27 Nov 21,https://shopee.ph/Xiaomi-Mi-Smart-Band-5-Global-Version-Black-i.178878153.7244883371
5,Positive,Received package in good state and item is securely packed.,19 Nov 21,https://shopee.ph/Xiaomi-Mi-Smart-Band-5-Global-Version-Black-i.178878153.7244883371
